campaign;DRN;site;running_id;date;stream_type;avg_depth_macroinvertebrates;avg_velocity_macroinvertebrates;Max_wetted_width_m;Min_wetted_width_m;Average_wetted_width_m;Bankfull_at_max__wetted_width_m;Bankfull_at_min__wetted_width_m;Embeddedness;bedrock;boulders;cobbles;gravel;sand;silt;particle_size;state_of_flow;if_IP_number_and_size_2_axes_+_depth_of_the_pools;Maximum_depth_cm;temperature_C;ph;conductivity_micros_cm;oxygen_mg_l;oxygen_sat;discharge_l_s;filamentous_algae;incrusted_algae;macrophyte_cover;leaf_litter_cover;moss_cover;wood_cover;reach_length_m;Latitude;Longitude;altitude_m;basin_area_km2;calcareous_geology_upstream;siliceous_geology_upstream;sedimentary_geology_upstream;slope;riparian_cover_in_the_riparian_area;native_riparian_species_richness;invasive_riparian_species_richness;left_river_bank_slope;right_river_bank_slope;shade;hydromorphological_alteration;volume_biofilm;m2_biofilm
5;Czech;VEL16;VEL16_5;11.10.2021;PR;12.3;0.1592;11;2;7;35;35;0;0;10;40;40;0;10;3.4;F;;32;13.3;7.88;694;9.79;95.9;32.2;0;0;0;4;0;0;98;48.9044;17.5069;260;75.30090718;1;0;1;0.005;75;7;0;30;30;10;2;120;0.0363
5;Czech;VEL17;VEL17_5;11.10.2021;PR;10.8;0.1582;3.5;2;2.5;25;25;0;10;0;30;50;0;10;3.4;F;;15;11;8.41;916;13.16;120.4;43.2;0;0;20;0;0;0;102;48.9016;17.3527;174;152.0834455;1;0;1;0.004761905;0;3;0;25;25;0;5;120;0.0255
5;Czech;VEL18;VEL18_5;12.10.2021;PR;6.1;0.1744;3.4;1.1;2.2;7.8;3.8;0;0;0;40;40;10;10;3.1;F;;12;9.6;8.56;444;10.47;96.1;1.6;0;0;0;10;0;0;55;48.8675;17.6162;454;3.161200894;1;0;1;0.060240964;90;7;0;30;40;100;1;120;0.0442
5;Czech;VEL19;VEL19_5;12.10.2021;PR;10.7;0.0013;1.5;0.2;0.4;11.2;7.6;0;0;0;30;40;20;10;2.9;F;;40;8.4;8.01;581;8.5;75.4;0.04;0;0;0;50;0;0;52;48.8773;17.6098;416;0.777685926;1;0;1;0.068807339;90;8;0;30;25;100;1;120;0.0364
5;Czech;VEL20;VEL20_5;11.10.2021;TR;0;0;0;0;0;;;;;;;;;;;D;;0;;;;;;0;;;;;;;54;48.8691;17.4679;265;3.535435288;1;0;1;0.027906977;95;9;0;15;15;90;2;120;0.0373
5;Czech;VEL21;VEL21_5;12.10.2021;TR;0;0;0;0;0;;;;;;;;;;;D;;0;;;;;;0;;;;;;;60;48.8908;17.526;305;1.109209898;1;0;1;0.042553191;100;8;0;15;15;100;2;120;0.038
6;Czech;VEL01;VEL01_6;23.11.2021;TR;0;0;0;0;0;;;;;;;;;;;D;;0;;;;;;0;;;;;;;83;48.8979;17.3501;177;19.25067936;1;0;1;0.0025;80;7;1;45;30;85;3;120;0.04745
6;Czech;VEL03;VEL03_6;23.11.2021;TR;0;0;0;0;0;;;;;;;;;;;D;;0;;;;;;0;;;;;;;52;48.8858;17.4065;196;1.438768442;1;0;1;0.036363636;80;4;0;25;20;30;3;120;0.0149
6;Czech;VEL04;VEL04_6;23.11.2021;TR;55;0;2.9;2.1;2.5;;;;0;0;30;20;20;30;2.5;IP;"Pool1 (10,3x2,1 + 0,4)m; Pool2 (5,8x2,9 + 0,7)m";70;6.2;7.41;1102;2.43;19.7;0;0;0;0;70;0;0;58;48.8936;17.4224;200;28.11350508;1;0;1;0.00973236;85;7;1;45;40;95;3;120;0.02105
6;Czech;VEL05;VEL05_6;23.11.2021;TR;0;0;0;0;0;;;;;;;;;;;D;;0;;;;;;0;;;;;;;80;48.913;17.3843;184;22.69728326;1;0;1;0.003236246;50;9;1;45;45;85;4;120;0.02815
6;Czech;VEL06;VEL06_6;23.11.2021;TR;15;0;2.5;2.5;2.5;;;;0;0;0;0;0;100;1;IP;Pool1 (70x2,5 + 0,15)m;15;4.4;7.47;1255;4.28;33.6;0;0;0;0;90;0;0;54;48.9339;17.4122;190;11.46064161;1;0;1;0.003232759;90;7;1;25;25;100;4;120;0.0338
6;Czech;VEL07;VEL07_6;23.11.2021;TR;6.3;0.0541;2.12;0.4;1.2;7;8.5;0;0;0;0;30;0;70;1.6;F;;7;5.2;7.86;1049;8.18;66.1;1.2;0;0;0;100;0;0;52;48.8811;17.4797;244;6.591928929;1;0;1;0.007537688;80;6;1;30;45;90;3;120;0.1038
6;Czech;VEL08;VEL08_6;24.11.2021;PR;10.25;0.1377;3.5;1;2.1;11;5.5;0;0;0;80;20;0;0;3.8;F;;21;4.4;8.17;518;12.4;99.8;1.4;0;0;0;45;0;0;63;48.8453;17.5566;378;10.29379507;1;0;1;0.023809524;80;8;0;15;45;95;1;120;0.0326
6;Czech;VEL09;VEL09_6;24.11.2021;PR;9;0.0871;1.8;0.4;1;7;7.3;0;10;0;60;30;0;0;3.9;F;;19;3.6;8.17;468;11.69;93.3;1.4;0;0;0;70;0;0;65;48.8766;17.6372;466;5.556452724;1;0;1;0.027777778;80;7;0;35;30;95;1;120;0.0417
6;Czech;VEL10;VEL10_6;24.11.2021;PR;20.6;0.078;7;2.5;4.5;14.5;10;0;0;20;30;40;10;0;3.6;F;;130;5.4;8.37;530;12.37;99.9;33.2;5;0;0;15;0;0;86;48.8672;17.5429;323;47.81743656;1;0;1;0.018939394;70;8;0;50;30;85;1;120;0.034025
6;Czech;VEL11;VEL11_6;24.11.2021;PR;15;0.027;4.3;0.3;2;12;6.7;0;10;10;50;30;0;0;4;F;;110;4.9;8.12;666;10.83;87.1;33.2;0;0;0;100;0;0;55;48.8954;17.5759;394;9.708518659;1;0;1;0.036585366;90;8;1;20;10;80;1;120;0.04425
6;Czech;VEL12;VEL12_6;24.11.2021;TR;18.4;0.029;4.6;2;2.5;10.9;7.2;0;0;20;50;20;0;10;3.7;F;;100;3.5;8;573;10.71;83.4;33.2;0;0;0;100;0;0;80;48.8999;17.5904;425;5.362363522;1;0;1;0.019047619;60;7;0;35;20;85;1;120;0.045
6;Czech;VEL13;VEL13_6;23.11.2021;TR;0;0;0;0;0;;;;;;;;;;;D;;0;;;;;;0;;;;;;;70;48.8823;17.5967;401;0.9241509;1;0;1;0.051194539;80;7;0;10;10;100;1;120;0.044
6;Czech;VEL14;VEL14_6;23.11.2021;TR;3.9;0.0004;0.6;0.1;0.2;6.7;5;0;0;0;60;40;0;0;3.6;F;;7;6.4;7.94;603;10;84.4;0.055;0;0;0;100;0;0;52;48.8736;17.5542;343;1.339301084;1;0;1;0.051282051;80;9;0;35;35;95;1;120;0.0485
6;Czech;VEL15;VEL15_6;23.11.2021;PR;12.6;0.018;2.3;1;1.4;10.9;7.2;0;10;0;50;40;0;0;3.8;F;;50;5.1;8.02;497;9.69;78;33.2;0;0;0;90;0;0;62;48.8721;17.5647;352;2.798664521;1;0;1;0.047169811;95;6;0;70;35;90;1;120;0.0493
6;Czech;VEL16;VEL16_6;23.11.2021;PR;11.1;0.0831;10.5;7;8.5;25;25;0;0;10;30;60;0;0;3.5;F;;90;8;7.9;754;11.02;94.2;54.3;80;0;10;0;0;0;98;48.9044;17.5069;260;75.30090718;1;0;1;0.005;75;7;0;30;30;10;2;120;0.0255
6;Czech;VEL17;VEL17_6;23.11.2021;PR;11;0.208;4;3;3.5;25;25;0;10;0;10;70;0;10;3.2;F;;20;5.6;8.31;911;12.54;102.1;42.5;10;0;10;0;0;0;102;48.9016;17.3527;174;152.0834455;1;0;1;0.004761905;0;3;0;25;25;0;5;120;0.0282
6;Czech;VEL18;VEL18_6;24.11.2021;PR;6.9;0.1487;2.8;0.5;1.9;8;3.9;0;0;10;30;50;10;0;3.4;F;;10;5.2;8.13;470;11.52;95.4;1.8;0;0;0;75;0;0;55;48.8675;17.6162;454;3.161200894;1;0;1;0.060240964;90;7;0;30;40;100;1;120;0.0276
6;Czech;VEL19;VEL19_6;23.11.2021;PR;7.1;0.0842;1.2;0.2;0.65;11.3;7.8;0;0;0;30;40;10;20;2.8;F;;15;5.2;7.85;637;9.46;78;0.25;0;0;0;100;0;0;52;48.8773;17.6098;416;0.777685926;1;0;1;0.068807339;90;8;0;30;25;100;1;120;0.0263
6;Czech;VEL20;VEL20_6;23.11.2021;TR;0;0;0;0;0;;;;;;;;;;;D;;0;;;;;;0;;;;;;;54;48.8691;17.4679;265;3.535435288;1;0;1;0.027906977;95;9;0;15;15;90;2;120;0.04225
6;Czech;VEL21;VEL21_6;23.11.2021;TR;0;0;0;0;0;;;;;;;;;;;D;;0;;;;;;0;;;;;;;60;48.8908;17.526;305;1.109209898;1;0;1;0.042553191;100;8;0;15;15;100;2;120;0.04395
1;Finland;LEP01;LEP01_1;12.4.2021;PR;18;0.70125;5;1.6;3.246;5;1.6;60;0;0;10;70;10;10;2.8;F;;30;3;5.89;92;9.79;;191.9661029;0;0;0;2;5;15;55;60.481367;24.656397;69;4.3881;0;0;74;7.335931312;100;6;0;4;5;20;2;200;0.027
1;Finland;LEP02;LEP02_1;12.4.2021;PR;21.875;0.24375;1.5;0.4;0.99;1.5;0.4;50;0;0;0;0;39;60;1.425;F;;35;2.5;4.6;43;9.06;;33.88;0;0;0;10;3;5;50;60.469907;24.623038;86;0.2798;0;0;0;6.355714175;100;4;0;10;10;80;1;200;0.0252
1;Finland;LEP03;LEP03_1;12.4.2021;PR;18.875;0.59;4;0.97;2.027;4;0.97;40;0;5;10;30;15;40;2.25;F;;40;3;6.87;75;9.88;;107.21;0;0;0;0;5;5;80;60.457176;24.621249;59;1.848;0;0;0;13.81343854;100;6;0;;;;1;200;0.0452
1;Finland;LEP04;LEP04_1;12.4.2021;PR;17.875;0.2725;2.2;1;1.68;2.6;1;45;0;15;5;5;38;38;2.225;F;;25;5.1;6.54;86;9.22;;31.28;0;0;0;3;3;15;80;60.431312;24.532785;63;0.9513;0;0;100;1.517585457;100;7;0;60;20;95;2;200;0.0412
1;Finland;LEP05;LEP05_1;13.4.2021;PR;19.875;0.3625;1.9;0.5;1.255;1.9;0.5;55;5;10;25;15;35;10;3.05;F;;35;3.1;4.63;33;8.42;;85.52;0;0;0;0;3;1;50;60.345149;24.560472;69;1.6169;0;0;0;3.269818039;100;6;0;50;30;90;1;200;0.0424
