Campaign;Site;Country;Date;Sample.ID;Acroloxus.sp.;Alboglossiphonia.sp.;Ancylus.sp.;Anodonta.sp.;Aphelocheirus.sp.;Aplexa.sp.;Asellus.sp.;Astacus.sp.;Atyaephyra.sp.;Aulodrilus.sp.;Austropotamobius.sp.;Bithynia.sp.;Bythinella.sp.;Carychium.sp.;Chaoboridae.Gen..sp.;Dendrocoelidae.Gen..sp.;Dina.sp.;Dixidae.Gen..sp.;Dugesiidae.Gen..sp.;Echinogammarus.sp.;Eiseniella.sp.;Embolocephalus.sp.;Enchytraeidae.Gen..sp.;Erpobdella.sp.;Galba.sp.;Gammarus.sp.;Glossiphonia.sp.;Gyraulus.sp.;Haemopis.sp.;Haplotaxis.sp.;Helobdella.sp.;Hemiclepsis.sp.;Italobdella.sp.;Limnodrilus.sp.;Lumbricidae.Gen..sp.;Lumbriculidae.Gen..sp.;Lymnaea.sp.;Melanopsis.sp.;Mercuria.sp.;Micronecta.sp.;Muscidae.Gen..sp.;Naididae.Gen..sp.;Nais.sp.;Niphargidae.Gen..sp.;Niphargus.sp.;Octochaetidae.Gen..sp.;Ophidonais.sp.;Oxyloma.sp.;Pacifastacus.sp.;Physa.sp.;Physella.sp.;Pisidium.sp.;Planariidae.Gen..sp.;Planorbarius.sp.;Planorbis.sp.;Platambus.sp.;Polycelis.sp.;Potamopyrgus.sp.;Pristina.sp.;Proasellus.sp.;Radix.sp.;Radomaniola.sp.;Rhagionidae.Gen..sp.;Segmentina.sp.;Sphaerium.sp.;Spirosperma.sp.;Stagnicola.sp.;Succinea.sp.;Succinella.sp.;Synurella.sp.;Theromyzon.sp.;Trocheta.sp.;Tubificidae.Gen..sp.;Turbellaria.Gen..sp.;Unio.sp.;Valvata.sp.;Vertigo.sp.;Viviparus.sp.;Zonitoides.sp.
1;BUT16;Croatia;25.2.2021;BUT16-2021-02-25-MINVS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0
1;BUT18;Croatia;25.2.2021;BUT18-2021-02-25-MINVS;0;0;0;0;0;0;608;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;552;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;24;0;0;0;0;0;0
1;BUT19;Croatia;23.2.2021;BUT19-2021-02-23-MINVS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;BUT23;Croatia;24.2.2021;BUT23-2021-02-24-MINVS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;238;0;0;4;0;0;996;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;BUT01;Croatia;20.4.2021;BUT01-2021-04-20-MINVS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;275;0;0;0;0;0;642;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;BUT02;Croatia;20.4.2021;BUT02-2021-04-20-MINVS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;BUT03;Croatia;20.4.2021;BUT03-2021-04-20-MINVS;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;1656;0;0;0;0;0;760;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
2;BUT04;Croatia;20.4.2021;BUT04-2021-04-20-MINVS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;0;0;0;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;BUT05;Croatia;20.4.2021;BUT05-2021-04-20-MINVS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;232;0;0;0;0;0;382;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;BUT06;Croatia;20.4.2021;BUT06-2021-04-20-MINVS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;6160;1;0;3;0;0;2085;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;BUT07;Croatia;21.4.2021;BUT07-2021-04-21-MINVS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;80;0;0;0;0;0;286;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;0;0;0;0;8;0;0;0;0;288;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;BUT08;Croatia;21.4.2021;BUT08-2021-04-21-MINVS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1440;0;0;0;0;0;976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;BUT09;Croatia;21.4.2021;BUT09-2021-04-21-MINVS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;124;0;0;2;0;0;158;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;BUT13;Croatia;4.5.2021;BUT13-2021-05-04-MINVS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69.33333333;0;0;0;0;0;268;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;BUT16;Croatia;4.5.2021;BUT16-2021-05-04-MINVS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;BUT18;Croatia;4.5.2021;BUT18-2021-05-04-MINVS;0;0;0;0;0;0;212;0;0;0;0;0;0;0;0;12;0;0;0;300;0;0;0;0;0;948;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
2;BUT19;Croatia;20.4.2021;BUT19-2021-04-20-MINVS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;BUT23;Croatia;20.4.2021;BUT23-2021-04-20-MINVS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56;0;0;4;0;0;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;BUT01;Croatia;7.6.2021;BUT01-2021-06-07-MINVS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;102;0;0;0;0;0;1212;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;43;0;0;0;0;0;0
3;BUT02;Croatia;7.6.2021;BUT02-2021-06-07-MINVS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;98;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
3;BUT03;Croatia;7.6.2021;BUT03-2021-06-07-MINVS;0;0;4;0;0;0;930;0;0;0;0;0;0;0;0;2;0;0;0;530;0;0;0;0;0;7400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;304;0;0;2;0;0;0
3;BUT04;Croatia;9.6.2021;BUT04-2021-06-09-MINVS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;210;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
